HYID8088500|17730000	0.116	0.090	0.545	0.249	HYID8089000|17730000	0.034	0.079	0.000	0.180	0.079	0.258	0.101	0.056	0.045	0.034	0.022	0.034	0.000	0.079	0.000	8	6	38	17	3	7	0	16	7	23	9	5	4	3	2	3	0	7	0
HYID8089000|17732500	0.428	0.318	0.146	0.107	HYID8089500|17732000	0.038	0.115	0.077	0.000	0.000	0.154	0.038	0.231	0.000	0.000	0.038	0.000	0.154	0.038	0.115	6	5	2	2	1	3	2	0	0	4	1	6	0	0	1	0	4	1	3
HYID8089500|17732000	0.468	0.096	0.225	0.210	HYID8086500|17733500	0.059	0.059	0.000	0.176	0.294	0.059	0.059	0.000	0.000	0.059	0.000	0.118	0.000	0.118	0.000	9	2	4	4	1	1	0	3	5	1	1	0	0	1	0	2	0	2	0
HYID8087000|17731500	0.098	0.063	0.155	0.685	HYID8088000|17733000	0.000	0.000	0.067	0.000	0.000	0.133	0.200	0.067	0.067	0.133	0.000	0.067	0.000	0.067	0.200	1	0	1	5	0	0	1	0	0	2	3	1	1	2	0	1	0	1	3
HYID8086500|17731500	0.566	0.003	0.215	0.216	HYID8086000|17731000	0.048	0.143	0.048	0.000	0.000	0.048	0.048	0.000	0.190	0.000	0.190	0.190	0.048	0.000	0.048	14	0	5	6	1	3	1	0	0	1	1	0	4	0	4	4	1	0	1
HYID8087500|17733000	0.275	0.090	0.540	0.095	HYID8087500|17731500	0.111	0.000	0.111	0.000	0.000	0.000	0.111	0.000	0.333	0.000	0.111	0.111	0.000	0.111	0.000	3	1	6	1	1	0	1	0	0	0	1	0	3	0	1	1	0	1	0
HYID8088500|17730000	0.771	0.013	0.116	0.100	HYID8089500|17731500	0.095	0.048	0.143	0.048	0.048	0.048	0.000	0.095	0.238	0.048	0.000	0.048	0.095	0.000	0.048	17	0	3	2	2	1	3	1	1	1	0	2	5	1	0	1	2	0	1
HYID8086500|17732500	0.363	0.513	0.095	0.029	HYID8089000|17730500	0.167	0.000	0.000	0.000	0.000	0.000	0.000	0.167	0.167	0.000	0.333	0.167	0.000	0.000	0.000	1	2	0	0	1	0	0	0	0	0	0	1	1	0	2	1	0	0	0
HYID8088000|17730500	0.061	0.223	0.088	0.628	HYID8086000|17731000	0.000	0.000	0.083	0.042	0.083	0.333	0.042	0.083	0.083	0.042	0.042	0.000	0.042	0.083	0.042	2	7	3	21	0	0	2	1	2	8	1	2	2	1	1	0	1	2	1
HYID8088500|17730000	0.098	0.301	0.444	0.156	HYID8089000|17730500	0.053	0.158	0.123	0.000	0.053	0.000	0.088	0.070	0.105	0.035	0.000	0.018	0.175	0.088	0.035	6	19	28	10	3	9	7	0	3	0	5	4	6	2	0	1	10	5	2
HYID8089500|17731500	0.162	0.013	0.657	0.168	HYID8087500|17733500	0.000	0.250	0.125	0.062	0.000	0.250	0.062	0.000	0.062	0.000	0.062	0.000	0.062	0.000	0.062	3	0	11	3	0	4	2	1	0	4	1	0	1	0	1	0	1	0	1
HYID8087000|17733500	0.275	0.090	0.491	0.144	HYID8088000|17732500	0.308	0.077	0.000	0.077	0.000	0.000	0.308	0.000	0.000	0.000	0.077	0.000	0.000	0.154	0.000	4	1	7	2	4	1	0	1	0	0	4	0	0	0	1	0	0	2	0
HYID8088000|17732500	0.284	0.000	0.191	0.525	HYID8087000|17733000	0.000	0.037	0.000	0.000	0.074	0.296	0.222	0.111	0.037	0.037	0.037	0.037	0.000	0.037	0.074	4	0	3	8	0	1	0	0	2	8	6	3	1	1	1	1	0	1	2
HYID8088500|17732500	0.173	0.410	0.271	0.146	HYID8086000|17733000	0.000	0.100	0.000	0.000	0.100	0.100	0.000	0.100	0.400	0.000	0.000	0.000	0.100	0.000	0.100	2	5	3	2	0	1	0	0	1	1	0	1	4	0	0	0	1	0	1
HYID8087500|17732500	0.197	0.242	0.446	0.116	HYID8086500|17733500	0.028	0.000	0.056	0.056	0.056	0.000	0.028	0.000	0.056	0.056	0.194	0.167	0.111	0.083	0.111	4	5	9	2	1	0	2	2	2	0	1	0	2	2	7	6	4	3	4
HYID8089500|17732500	0.156	0.023	0.139	0.681	HYID8089000|17730000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYID8089000|17731500	0.391	0.042	0.104	0.464	HYID8088000|17733000	0.364	0.000	0.000	0.000	0.000	0.091	0.000	0.000	0.000	0.091	0.091	0.182	0.182	0.000	0.000	3	0	1	3	4	0	0	0	0	1	0	0	0	1	1	2	2	0	0
HYID8089500|17730000	0.121	0.085	0.396	0.398	HYID8087500|17730000	0.333	0.000	0.000	0.000	0.333	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
HYID8087000|17733000	0.831	0.026	0.110	0.032	HYID8088000|17731500	0.400	0.200	0.000	0.000	0.000	0.200	0.000	0.000	0.000	0.200	0.000	0.000	0.000	0.000	0.000	3	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	0	0
HYID8087500|17731500	0.296	0.191	0.133	0.381	HYID8087500|17732000	0.024	0.083	0.036	0.012	0.012	0.167	0.012	0.214	0.012	0.024	0.012	0.095	0.179	0.119	0.000	13	8	6	16	2	7	3	1	1	14	1	18	1	2	1	8	15	10	0
HYID8089000|17731500	0.639	0.125	0.133	0.103	HYID8088500|17731000	0.020	0.082	0.082	0.061	0.122	0.082	0.082	0.000	0.041	0.041	0.082	0.020	0.061	0.000	0.224	44	9	9	7	1	4	4	3	6	4	4	0	2	2	4	1	3	0	11
HYID8089000|17731000	0.212	0.690	0.088	0.010	HYID8086000|17730500	0.333	0.000	0.000	0.000	0.167	0.167	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2	5	1	0	2	0	0	0	1	1	2	0	0	0	0	0	0	0	0
HYID8087000|17730500	0.588	0.084	0.000	0.327	HYID8087500|17730500	0.222	0.111	0.111	0.000	0.000	0.000	0.111	0.111	0.000	0.111	0.111	0.000	0.000	0.111	0.000	3	0	0	2	2	1	1	0	0	0	1	1	0	1	1	0	0	1	0
HYID8089500|17733000	0.033	0.480	0.224	0.262	HYID8086500|17733000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HYID8089000|17732500	0.673	0.160	0.006	0.162	HYID8087500|17731000	0.111	0.000	0.111	0.000	0.111	0.000	0.000	0.000	0.111	0.111	0.111	0.000	0.222	0.000	0.111	8	2	0	2	1	0	1	0	1	0	0	0	1	1	1	0	2	0	1
HYID8089000|17732000	0.070	0.203	0.321	0.407	HYID8087000|17731000	0.054	0.290	0.054	0.054	0.000	0.151	0.000	0.011	0.011	0.032	0.043	0.022	0.054	0.204	0.022	3	10	15	19	5	27	5	5	0	14	0	1	1	3	4	2	5	19	2
HYID8086000|17731500	0.189	0.058	0.336	0.417	HYID8089500|17733000	0.000	0.067	0.200	0.067	0.000	0.333	0.000	0.067	0.067	0.000	0.000	0.000	0.133	0.000	0.067	3	1	5	6	0	1	3	1	0	5	0	1	1	0	0	0	2	0	1
